635
D00049	hsa:338442	Interactive	1.0
D00059	hsa:1812	Interactive	1.0
D00059	hsa:1813	Interactive	1.0
D00079	hsa:5739	Interactive	1.0
D00094	hsa:9052	Interactive	1.0
D00095	hsa:148	Interactive	1.0
D00095	hsa:153	Interactive	1.0
D00095	hsa:154	Interactive	1.0
D00106	hsa:64805	Interactive	1.0
D00110	hsa:1812	Interactive	1.0
D00110	hsa:1814	Interactive	1.0
D00110	hsa:4986	Interactive	1.0
D00113	hsa:1128	Interactive	1.0
D00113	hsa:1129	Interactive	1.0
D00113	hsa:1131	Interactive	1.0
D00113	hsa:1132	Interactive	1.0
D00113	hsa:1133	Interactive	1.0
D00136	hsa:150	Interactive	1.0
D00136	hsa:151	Interactive	1.0
D00136	hsa:1813	Interactive	1.0
D00136	hsa:1814	Interactive	1.0
D00139	hsa:3577	Interactive	1.0
D00180	hsa:5731	Interactive	1.0
D00180	hsa:5732	Interactive	1.0
D00180	hsa:5739	Interactive	1.0
D00225	hsa:3577	Interactive	1.0
D00227	hsa:134	Interactive	1.0
D00227	hsa:135	Interactive	1.0
D00227	hsa:140	Interactive	1.0
D00232	hsa:1128	Interactive	1.0
D00232	hsa:1129	Interactive	1.0
D00232	hsa:1131	Interactive	1.0
D00234	hsa:11255	Interactive	1.0
D00234	hsa:3269	Interactive	1.0
D00234	hsa:59340	Interactive	1.0
D00235	hsa:153	Interactive	1.0
D00235	hsa:154	Interactive	1.0
D00241	hsa:2550	Interactive	1.0
D00255	hsa:146	Interactive	1.0
D00255	hsa:147	Interactive	1.0
D00255	hsa:148	Interactive	1.0
D00255	hsa:150	Interactive	1.0
D00255	hsa:151	Interactive	1.0
D00255	hsa:153	Interactive	1.0
D00255	hsa:154	Interactive	1.0
D00255	hsa:155	Interactive	1.0
D00270	hsa:150	Interactive	1.0
D00270	hsa:151	Interactive	1.0
D00270	hsa:1812	Interactive	1.0
D00270	hsa:1813	Interactive	1.0
D00270	hsa:1814	Interactive	1.0
D00270	hsa:1816	Interactive	1.0
D00270	hsa:3356	Interactive	1.0
D00274	hsa:1128	Interactive	1.0
D00274	hsa:1129	Interactive	1.0
D00274	hsa:3360	Interactive	1.0
D00281	hsa:146	Interactive	1.0
D00281	hsa:147	Interactive	1.0
D00281	hsa:148	Interactive	1.0
D00281	hsa:150	Interactive	1.0
D00281	hsa:151	Interactive	1.0
D00281	hsa:152	Interactive	1.0
D00283	hsa:1128	Interactive	1.0
D00283	hsa:1129	Interactive	1.0
D00283	hsa:146	Interactive	1.0
D00283	hsa:147	Interactive	1.0
D00283	hsa:148	Interactive	1.0
D00283	hsa:150	Interactive	1.0
D00283	hsa:151	Interactive	1.0
D00283	hsa:1812	Interactive	1.0
D00283	hsa:1813	Interactive	1.0
D00283	hsa:1815	Interactive	1.0
D00283	hsa:1816	Interactive	1.0
D00283	hsa:3269	Interactive	1.0
D00283	hsa:3350	Interactive	1.0
D00283	hsa:3351	Interactive	1.0
D00283	hsa:3352	Interactive	1.0
D00283	hsa:3354	Interactive	1.0
D00283	hsa:3355	Interactive	1.0
D00283	hsa:3356	Interactive	1.0
D00283	hsa:3357	Interactive	1.0
D00283	hsa:3358	Interactive	1.0
D00283	hsa:3360	Interactive	1.0
D00283	hsa:3361	Interactive	1.0
D00283	hsa:3362	Interactive	1.0
D00283	hsa:3363	Interactive	1.0
D00283	hsa:59340	Interactive	1.0
D00295	hsa:3274	Interactive	1.0
D00300	hsa:11255	Interactive	1.0
D00300	hsa:3269	Interactive	1.0
D00300	hsa:59340	Interactive	1.0
D00301	hsa:4988	Interactive	1.0
D00306	hsa:1268	Interactive	1.0
D00318	hsa:11255	Interactive	1.0
D00318	hsa:3274	Interactive	1.0
D00318	hsa:59340	Interactive	1.0
D00332	hsa:134	Interactive	1.0
D00332	hsa:150	Interactive	1.0
D00336	hsa:6915	Interactive	1.0
D00356	hsa:5737	Interactive	1.0
D00364	hsa:3269	Interactive	1.0
D00371	hsa:136	Interactive	1.0
D00380	hsa:3577	Interactive	1.0
D00394	hsa:3577	Interactive	1.0
D00397	hsa:1128	Interactive	1.0
D00397	hsa:1129	Interactive	1.0
D00397	hsa:1132	Interactive	1.0
D00400	hsa:185	Interactive	1.0
D00410	hsa:3577	Interactive	1.0
D00411	hsa:10800	Interactive	1.0
D00411	hsa:1241	Interactive	1.0
D00411	hsa:56413	Interactive	1.0
D00411	hsa:57105	Interactive	1.0
D00415	hsa:3351	Interactive	1.0
D00415	hsa:3352	Interactive	1.0
D00419	hsa:5732	Interactive	1.0
D00419	hsa:5733	Interactive	1.0
D00422	hsa:3274	Interactive	1.0
D00426	hsa:146	Interactive	1.0
D00426	hsa:147	Interactive	1.0
D00426	hsa:148	Interactive	1.0
D00426	hsa:3356	Interactive	1.0
D00432	hsa:153	Interactive	1.0
D00432	hsa:154	Interactive	1.0
D00432	hsa:155	Interactive	1.0
D00437	hsa:146	Interactive	1.0
D00437	hsa:147	Interactive	1.0
D00437	hsa:148	Interactive	1.0
D00437	hsa:150	Interactive	1.0
D00437	hsa:151	Interactive	1.0
D00437	hsa:153	Interactive	1.0
D00437	hsa:154	Interactive	1.0
D00437	hsa:155	Interactive	1.0
D00437	hsa:3577	Interactive	1.0
D00440	hsa:3274	Interactive	1.0
D00442	hsa:6751	Interactive	1.0
D00442	hsa:6752	Interactive	1.0
D00443	hsa:185	Interactive	1.0
D00451	hsa:3350	Interactive	1.0
D00451	hsa:3351	Interactive	1.0
D00451	hsa:3352	Interactive	1.0
D00451	hsa:3354	Interactive	1.0
D00451	hsa:3355	Interactive	1.0
D00451	hsa:3356	Interactive	1.0
D00451	hsa:3357	Interactive	1.0
D00451	hsa:3358	Interactive	1.0
D00451	hsa:3360	Interactive	1.0
D00451	hsa:3361	Interactive	1.0
D00451	hsa:3362	Interactive	1.0
D00454	hsa:1128	Interactive	1.0
D00454	hsa:1129	Interactive	1.0
D00454	hsa:1131	Interactive	1.0
D00454	hsa:1132	Interactive	1.0
D00454	hsa:1133	Interactive	1.0
D00454	hsa:146	Interactive	1.0
D00454	hsa:147	Interactive	1.0
D00454	hsa:148	Interactive	1.0
D00454	hsa:150	Interactive	1.0
D00454	hsa:151	Interactive	1.0
D00454	hsa:153	Interactive	1.0
D00454	hsa:154	Interactive	1.0
